Time_1Hz,17.T_Engine Room,18.T_Engine Room 2,19.T_Engine Room Surface,20.T_Fan Guard Around,21.T_NOx Sensor Down Under,1.T_Air,2.T_DP Sensor Surface Up,4.T_DP Sensor Surface Down,5.T_DP Sensor Surface In,6.T_DP Sensor Above,7.T_DP Sensor Under,8.T_NOx Sensor Up Above,9.T_NOx Sensor Up Surface,10.T_NOx Sensor Up Around,11.T_Reservoir Around Left,12.T_Reservoir Around Right,13.T_NOx Sensor Down Surface,14.T_NOx Sensor Down Around,15.T_DM Surface,16.T_DM Around
1291.575881,68.12939651,71.44609751,73.88998245,66.55832761,72.84260319,40.54840925,74.15182727,74.10818647,74.28274968,74.80643931,76.68299382,75.15556573,71.88250553,70.44235904,75.72289616,75.46105135,76.72663462,76.85755703,79.78149081,74.32639048
1292.575881,67.91119249,71.3151751,73.97726406,66.3401236,72.88624399,40.50476844,74.15182727,74.19546807,74.28274968,74.89372091,76.50843061,74.85008011,71.88250553,70.39871824,75.59197375,75.37376974,76.68299382,76.77027543,79.82513161,74.19546807
1293.575881,67.64934768,71.18425269,73.88998245,66.16556039,72.88624399,40.11200122,74.15182727,74.19546807,74.32639048,74.93736172,76.421149,74.85008011,71.88250553,70.35507744,75.33012894,75.28648814,76.68299382,76.63935302,79.86877241,74.15182727
1294.575881,67.51842527,70.96604868,73.80270085,65.94735637,72.84260319,39.50102998,74.19546807,74.19546807,74.41367208,74.93736172,76.68299382,74.93736172,71.88250553,70.22415503,75.37376974,75.02464332,76.68299382,76.55207141,79.86877241,74.10818647
1295.575881,67.38750286,70.79148547,73.88998245,65.81643397,72.84260319,39.58831159,74.15182727,74.19546807,74.32639048,74.85008011,76.63935302,74.7191577,71.92614633,70.26779583,75.37376974,74.85008011,76.68299382,76.55207141,79.91241321,74.02090486
1296.575881,67.25658045,70.70420386,73.80270085,65.68551156,72.88624399,39.8501564,74.15182727,74.23910887,74.41367208,74.89372091,76.421149,74.45731289,71.88250553,70.13687343,75.46105135,74.54459449,76.68299382,76.50843061,79.91241321,73.88998245
1297.575881,67.12565805,70.57328145,73.75906004,65.59822995,72.84260319,39.06462196,74.19546807,74.28274968,74.41367208,74.89372091,76.24658579,74.7191577,71.88250553,70.09323262,75.37376974,74.41367208,76.72663462,76.55207141,79.99969482,73.75906004
1298.575881,67.12565805,70.52964065,73.75906004,65.55458915,72.84260319,38.23544671,74.19546807,74.28274968,74.37003128,74.80643931,76.15930419,74.7627985,71.88250553,70.04959182,75.37376974,74.58823529,76.72663462,76.55207141,80.08697642,73.62813764
1299.575881,66.99473564,70.48599985,73.75906004,65.46730755,72.84260319,38.58457313,74.19546807,74.19546807,74.32639048,74.7191577,76.11566339,74.7191577,71.88250553,70.00595102,75.24284733,74.41367208,76.68299382,76.46478981,80.08697642,73.49721523
1300.575881,66.99473564,70.35507744,73.75906004,65.42366674,72.88624399,39.02098116,74.19546807,74.15182727,74.32639048,74.6318761,76.20294499,74.85008011,71.88250553,70.04959182,75.33012894,74.58823529,76.77027543,76.421149,80.13061723,73.45357443
1301.575881,66.95109483,70.35507744,73.62813764,65.38002594,72.84260319,38.75913634,74.19546807,74.15182727,74.32639048,74.58823529,76.3775082,74.85008011,71.88250553,70.09323262,74.98100252,74.58823529,76.77027543,76.3775082,80.17425803,73.45357443
1302.575881,66.68925002,70.31143664,73.54085603,65.29274434,72.92988479,39.45738918,74.19546807,74.23910887,74.37003128,74.58823529,76.15930419,74.58823529,71.88250553,69.96231022,74.89372091,74.50095369,76.77027543,76.421149,80.21789883,73.49721523
1303.575881,66.73289082,70.18051423,73.58449683,65.24910353,72.88624399,40.11200122,74.19546807,74.19546807,74.32639048,74.41367208,75.85381857,74.54459449,71.88250553,69.91866941,75.06828412,74.54459449,76.72663462,76.3775082,80.26153964,73.45357443
1304.575881,66.73289082,70.22415503,73.54085603,65.16182193,72.92988479,40.59205005,74.19546807,74.15182727,74.32639048,74.54459449,75.89745937,74.19546807,71.88250553,69.96231022,74.7191577,74.41367208,76.77027543,76.3775082,80.43610285,73.49721523
1305.575881,66.68925002,70.26779583,73.54085603,65.16182193,72.9735256,40.85389487,74.19546807,74.15182727,74.32639048,74.45731289,75.72289616,74.02090486,71.88250553,69.83138781,74.80643931,74.32639048,76.77027543,76.3775082,80.34882124,73.32265202
1306.575881,66.68925002,70.09323262,73.58449683,65.11818112,72.9735256,40.24292363,74.19546807,74.15182727,74.32639048,74.45731289,75.76653696,73.97726406,71.88250553,69.83138781,74.54459449,74.37003128,76.81391623,76.46478981,80.34882124,73.32265202
1307.575881,66.55832761,69.83138781,73.54085603,65.07454032,73.0171664,40.72297246,74.19546807,74.15182727,74.32639048,74.50095369,75.94110018,74.32639048,71.88250553,69.7441062,74.58823529,74.54459449,76.81391623,76.3775082,80.43610285,73.104448
1308.575881,66.51468681,69.91866941,73.54085603,65.07454032,73.0608072,41.68307012,74.19546807,74.19546807,74.37003128,74.45731289,76.20294499,74.54459449,71.92614633,69.6568246,74.85008011,74.23910887,76.81391623,76.3775082,80.56702525,73.14808881
1309.575881,66.60196841,69.7441062,73.45357443,65.07454032,73.0171664,41.81399252,74.19546807,74.19546807,74.32639048,74.41367208,76.24658579,74.54459449,71.92614633,69.7004654,74.6755169,74.32639048,76.85755703,76.46478981,80.52338445,73.0608072
1310.575881,66.64560922,69.56954299,73.45357443,65.07454032,72.9735256,42.07583734,74.19546807,74.19546807,74.41367208,74.54459449,76.2902266,74.28274968,71.92614633,69.7441062,74.58823529,74.32639048,76.90119783,76.421149,80.56702525,73.0608072
1311.575881,66.64560922,69.52590219,73.49721523,65.16182193,73.0608072,42.68680858,74.19546807,74.19546807,74.37003128,74.45731289,75.76653696,74.15182727,71.92614633,69.7004654,74.58823529,74.19546807,76.90119783,76.3775082,80.65430686,73.14808881
1312.575881,66.68925002,69.7004654,73.62813764,65.24910353,73.0608072,42.29404135,74.23910887,74.15182727,74.32639048,74.45731289,75.67925536,74.28274968,71.96978714,69.6568246,74.6755169,74.02090486,76.90119783,76.24658579,80.78522927,73.19172961
1313.575881,66.86381323,69.87502861,73.62813764,65.38002594,72.9735256,40.54840925,74.19546807,74.15182727,74.32639048,74.58823529,75.89745937,74.15182727,71.96978714,69.61318379,74.7191577,73.80270085,76.90119783,76.2902266,81.2652781,73.23537041
1314.575881,66.99473564,69.87502861,73.58449683,65.46730755,73.0608072,39.02098116,74.23910887,74.19546807,74.32639048,74.50095369,75.72289616,74.10818647,72.01342794,69.61318379,74.89372091,73.62813764,76.94483864,76.3338674,81.65804532,73.19172961
1315.575881,67.25658045,70.00595102,73.58449683,65.72915236,73.0608072,39.10826276,74.19546807,74.15182727,74.32639048,74.41367208,75.72289616,74.10818647,71.96978714,69.6568246,75.11192493,73.75906004,76.94483864,76.3338674,81.83260853,73.27901122
1316.575881,67.51842527,70.09323262,73.62813764,66.03463798,73.0171664,38.75913634,74.23910887,74.15182727,74.32639048,74.41367208,75.89745937,74.28274968,71.96978714,69.7004654,74.98100252,74.06454566,77.03212024,76.3775082,81.96353094,73.19172961
1317.575881,67.9548333,70.22415503,73.58449683,66.4274052,73.0171664,39.06462196,74.23910887,74.19546807,74.32639048,74.45731289,76.15930419,74.45731289,71.96978714,69.7004654,75.19920653,74.15182727,76.98847944,76.3775082,82.31265736,73.27901122
1318.575881,68.56580453,70.35507744,73.71541924,66.99473564,73.0171664,39.8501564,74.19546807,74.15182727,74.32639048,74.45731289,75.94110018,74.45731289,72.01342794,69.7441062,75.19920653,74.37003128,77.03212024,76.421149,82.39993896,73.40993362
1319.575881,69.13313497,70.57328145,73.84634165,67.64934768,73.0608072,40.11200122,74.23910887,74.19546807,74.37003128,74.45731289,76.11566339,74.6755169,72.01342794,69.83138781,75.19920653,74.41367208,77.03212024,76.50843061,82.13809415,73.45357443
1320.575881,69.61318379,70.87876707,73.97726406,68.17303731,72.9735256,41.20302129,74.28274968,74.23910887,74.41367208,74.54459449,76.3338674,74.6318761,71.96978714,70.09323262,75.37376974,74.41367208,77.03212024,76.50843061,82.09445335,73.58449683
1321.575881,69.91866941,70.92240787,74.10818647,68.56580453,73.0608072,41.5085069,74.23910887,74.28274968,74.41367208,74.6755169,76.50843061,74.54459449,71.96978714,70.26779583,75.63561456,74.89372091,76.98847944,76.59571221,82.44357977,73.88998245
1322.575881,70.26779583,71.4024567,74.10818647,68.87129015,73.0608072,41.20302129,74.28274968,74.32639048,74.45731289,74.80643931,76.59571221,74.6755169,72.01342794,70.44235904,75.89745937,75.11192493,77.03212024,76.68299382,82.9672694,74.10818647
1323.575881,70.48599985,71.70794232,74.15182727,69.08949416,73.0608072,41.20302129,74.32639048,74.28274968,74.45731289,74.80643931,76.81391623,75.15556573,72.10070954,70.57328145,75.72289616,75.19920653,77.16304265,76.81391623,82.66178378,74.32639048
1324.575881,70.57328145,71.92614633,74.23910887,69.17677577,73.0608072,41.11573968,74.32639048,74.32639048,74.45731289,74.93736172,77.11940185,75.46105135,72.05706874,70.74784466,75.72289616,75.33012894,77.16304265,76.90119783,81.78896773,74.6755169
1325.575881,70.57328145,72.10070954,74.23910887,69.17677577,73.0608072,41.63942931,74.32639048,74.41367208,74.54459449,75.06828412,77.20668345,75.50469215,72.01342794,70.74784466,75.89745937,75.50469215,77.16304265,76.98847944,81.17799649,74.80643931
1326.575881,70.70420386,72.23163195,74.28274968,69.26405737,73.104448,41.81399252,74.37003128,74.41367208,74.58823529,75.19920653,77.20668345,75.50469215,72.05706874,70.79148547,76.15930419,75.46105135,77.20668345,77.07576104,81.13435569,74.93736172
1327.575881,70.79148547,72.53711757,74.32639048,69.35133898,73.0608072,42.42496376,74.41367208,74.41367208,74.58823529,75.24284733,77.16304265,75.37376974,72.10070954,70.96604868,76.24658579,75.72289616,77.42488746,77.16304265,80.95979248,75.02464332
1328.575881,70.79148547,72.49347677,74.45731289,69.35133898,73.0608072,41.33394369,74.41367208,74.41367208,74.58823529,75.24284733,77.07576104,75.19920653,72.10070954,71.09697108,76.15930419,75.85381857,77.55580987,77.20668345,80.61066606,75.11192493
1329.575881,70.70420386,72.58075837,74.45731289,69.30769818,73.104448,42.03219654,74.41367208,74.32639048,74.54459449,75.15556573,76.94483864,75.11192493,72.10070954,71.05333028,76.15930419,75.85381857,77.73037308,77.20668345,80.43610285,75.15556573
1330.575881,70.70420386,72.66803998,74.41367208,69.30769818,73.104448,43.0795758,74.41367208,74.37003128,74.54459449,75.15556573,76.72663462,75.24284733,72.14435035,71.05333028,76.24658579,76.11566339,78.25406271,77.20668345,80.43610285,75.24284733
1331.575881,70.79148547,72.66803998,74.45731289,69.30769818,73.104448,42.64316777,74.41367208,74.41367208,74.54459449,74.98100252,76.72663462,75.46105135,72.10070954,71.05333028,76.50843061,76.02838178,78.69047074,77.20668345,80.39246204,75.37376974
1332.575881,71.05333028,72.75532158,74.58823529,69.48226139,73.104448,40.98481727,74.41367208,74.41367208,74.54459449,75.06828412,76.72663462,75.28648814,72.10070954,71.05333028,76.63935302,75.85381857,79.08323796,77.33760586,80.39246204,75.33012894
1333.575881,71.27153429,72.92988479,74.6318761,69.7004654,73.14808881,39.37010758,74.45731289,74.45731289,74.58823529,75.33012894,77.25032425,75.37376974,72.14435035,71.14061189,76.55207141,75.89745937,78.55954833,77.38124666,80.43610285,75.46105135
1334.575881,71.3151751,73.0608072,74.6318761,69.91866941,73.19172961,39.719234,74.50095369,74.54459449,74.6755169,75.46105135,77.07576104,75.46105135,72.14435035,71.18425269,76.72663462,75.81017777,77.86129549,77.42488746,80.43610285,75.46105135
1335.575881,71.3588159,73.36629282,74.6755169,70.09323262,73.19172961,40.06836042,74.54459449,74.54459449,74.7191577,75.50469215,77.03212024,75.76653696,72.14435035,71.18425269,76.81391623,76.02838178,77.55580987,77.33760586,80.43610285,75.54833295
1336.575881,71.62066072,73.49721523,74.6755169,70.26779583,73.19172961,39.8501564,74.54459449,74.58823529,74.7191577,75.67925536,77.11940185,76.02838178,72.23163195,71.3151751,76.68299382,76.11566339,77.29396506,77.46852827,80.43610285,75.76653696
1337.575881,71.88250553,73.58449683,74.7191577,70.39871824,73.19172961,39.10826276,74.54459449,74.6318761,74.80643931,75.72289616,77.29396506,75.98474098,72.23163195,71.48973831,76.77027543,76.2902266,77.16304265,77.55580987,80.47974365,75.89745937
1338.575881,71.92614633,73.84634165,74.80643931,70.52964065,73.23537041,38.89005875,74.58823529,74.6755169,74.7627985,75.67925536,77.51216907,75.98474098,72.23163195,71.62066072,76.98847944,76.50843061,77.25032425,77.68673228,80.52338445,76.02838178
1339.575881,72.05706874,73.97726406,74.85008011,70.61692226,73.19172961,40.37384604,74.58823529,74.6318761,74.80643931,75.72289616,77.55580987,76.15930419,72.23163195,71.75158312,76.85755703,76.421149,77.20668345,77.68673228,80.52338445,75.98474098
1340.575881,72.14435035,74.19546807,74.85008011,70.79148547,73.23537041,41.72671092,74.6755169,74.6755169,74.80643931,75.85381857,77.64309148,76.421149,72.23163195,71.75158312,76.90119783,76.421149,77.25032425,77.68673228,80.56702525,76.02838178
1341.575881,72.27527276,74.28274968,74.93736172,70.92240787,73.27901122,40.98481727,74.6755169,74.7191577,74.85008011,76.02838178,78.0794995,76.63935302,72.27527276,71.83886473,76.98847944,76.63935302,77.20668345,77.73037308,80.56702525,76.11566339
1342.575881,72.49347677,74.28274968,75.06828412,71.00968948,73.23537041,40.72297246,74.7191577,74.80643931,74.98100252,76.24658579,78.21042191,76.59571221,72.27527276,71.75158312,76.77027543,76.72663462,77.20668345,77.81765469,80.61066606,76.15930419
1343.575881,72.53711757,74.37003128,75.11192493,71.14061189,73.23537041,41.02845808,74.7627985,74.80643931,74.98100252,76.15930419,77.73037308,76.2902266,72.27527276,71.70794232,77.03212024,76.90119783,77.20668345,77.77401389,80.61066606,76.3338674
1344.575881,72.66803998,74.6755169,75.11192493,71.3151751,73.23537041,41.24666209,74.7627985,74.80643931,74.98100252,76.15930419,77.9922179,76.77027543,72.27527276,71.83886473,77.33760586,76.94483864,77.29396506,77.81765469,80.61066606,76.46478981
1345.575881,72.92988479,74.58823529,75.28648814,71.44609751,73.23537041,39.8065156,74.80643931,74.80643931,74.98100252,76.15930419,78.25406271,77.07576104,72.27527276,71.88250553,77.73037308,76.90119783,77.29396506,77.81765469,80.69794766,76.68299382
1346.575881,73.104448,74.7191577,75.33012894,71.57701991,73.23537041,38.75913634,74.85008011,74.89372091,75.02464332,76.15930419,78.60318914,77.25032425,72.27527276,71.88250553,77.90493629,77.03212024,77.25032425,77.77401389,80.61066606,76.81391623
